Strain	Rep	Block	Tube	per.10ml	logged
1212	1	13	1	34000000	7.531478917
1212	1	13	2	44000000	7.643452676
1212	1	13	3	17333333.33	7.238882089
1212	2	14	1	8000000	6.903089987
1212	2	14	2	13333333.33	7.124938737
1212	2	14	3	NA	NA
1212	3	15	1	2866666.667	6.457377197
1212	3	15	2	3666666.667	6.56427143
1212	3	15	3	4533333.333	6.656417654
1212	4	4	1	44000000	7.643452676
1212	4	4	2	47333333.33	7.67516709
1212	4	4	3	42666666.67	7.630088715
1448a	1	3	1	1433333.333	6.156347201
1448a	1	3	2	540000	5.73239376
1448a	1	3	3	360000	5.556302501
1448a	2	6	1	600000	5.77815125
1448a	2	6	2	2533333.333	6.403692338
1448a	2	6	3	3066666.667	6.486666573
1448a	3	27	1	933333.3333	5.970036777
1448a	3	27	2	2400000	6.380211242
1448a	3	27	3	1133333.333	6.054357662
1644r	1	19	1	493333.3333	5.693140461
1644r	1	19	2	133333.3333	5.124938737
1644r	1	19	3	446666.6667	5.649983544
1644r	2	20	1	1333333.333	6.124938737
1644r	2	20	2	340000	5.531478917
1644r	2	20	3	27333.33333	4.436692598
1644r	3	22	1	100000	5
1644r	3	22	2	246666.6667	5.392110465
1644r	3	22	3	293333.3333	5.467361417
aceris	1	4	1	10000	4
aceris	1	4	2	46666.66667	4.669006781
aceris	1	4	3	19333.33333	4.286306739
aceris	2	6	1	49333.33333	4.693140461
aceris	2	6	2	2533333.333	6.403692338
aceris	2	6	3	486666.6667	5.687231601
aceris	3	29	1	30666.66667	4.486666573
aceris	3	29	2	15333.33333	4.185636577
aceris	3	29	3	106666.6667	5.028028724
aptata	1	2	1	266666.6667	5.425968732
aptata	1	2	2	1666666.667	6.22184875
aptata	1	2	3	126000	5.100370545
aptata	2	5	1	2933333.333	6.467361417
aptata	2	5	2	1666666.667	6.22184875
aptata	2	5	3	500000	5.698970004
aptata	3	24	1	30666.66667	4.486666573
aptata	3	24	2	160000	5.204119983
aptata	3	24	3	38000	4.579783597
B301D	1	13	1	34000000	7.531478917
B301D	1	13	2	34666666.67	7.539912085
B301D	1	13	3	16000000	7.204119983
B301D	2	14	1	2066666.667	6.315270435
B301D	2	14	2	1666666.667	6.22184875
B301D	2	14	3	2333333.333	6.367976785
B301D	3	30	1	20666666.67	7.315270435
B301D	3	30	2	8266666.667	6.917330426
B301D	3	30	3	21333333.33	7.329058719
B48	1	16	1	16000000	7.204119983
B48	1	16	2	14000000	7.146128036
B48	1	16	3	17333333.33	7.238882089
B48	2	17	1	36000000	7.556302501
B48	2	17	2	113333333.3	8.054357662
B48	2	17	3	126666666.7	8.102662342
B48	3	18	1	3066666.667	6.486666573
B48	3	18	2	3000000	6.477121255
B48	3	18	3	2600000	6.414973348
B728a	1	1	2	7466666.667	6.873126764
B728a	1	1	3	1006666.667	6.002885688
B728a	2	3	1	2733333.333	6.436692598
B728a	2	3	2	2400000	6.380211242
B728a	2	3	3	3400000	6.531478917
B728a	3	5	1	14800000	7.170261715
B728a	3	5	2	5133333.333	6.710399466
B728a	3	5	3	18000000	7.255272505
B728a	4	23	1	22666666.67	7.355387658
B728a	4	23	2	22000000	7.342422681
B728a	4	23	3	17333333.33	7.238882089
