strains	date	round	72.hr	prop.dead	initial.no	percent.dead
B728a	07.03.17	4	73	0.760416667	96	76.04166667
B728a	07.10.17	6	55	0.572916667	96	57.29166667
B728a	08.14.17	16	64	0.666666667	96	66.66666667
Cit7	06.27.17	3b	82	0.854166667	96	85.41666667
Cit7	07.11.17	7	75	0.789473684	95	78.94736842
Cit7	08.08.17	13	81	0.84375	96	84.375
japonica	03.22.17	0	41	0.427083333	96	42.70833333
japonica	07.04.17	5	27	0.28125	96	28.125
japonica	07.10.17	6	17	0.177083333	96	17.70833333
japonica	07.18.17	8	50	0.526315789	95	52.63157895
japonica	07.25.17	10	27	0.28125	96	28.125
japonica	08.11.17	15	76	0.791666667	96	79.16666667
japonica	08.14.17	16	31	0.326315789	95	32.63157895
japonica	08.15.17	17	26	0.270833333	96	27.08333333
aptata	03.22.17	0	23	0.239583333	96	23.95833333
aptata	07.04.17	5	24	0.25	96	25
aptata	07.10.17	6	7	0.072916667	96	7.291666667
aptata	07.18.17	8	39	0.40625	96	40.625
aptata	07.25.17	10	30	0.3125	96	31.25
aptata	08.11.17	15	62	0.645833333	96	64.58333333
aptata	08.14.17	16	30	0.3125	96	31.25
aptata	08.15.17	17	28	0.291666667	96	29.16666667
aptata	09.12.17	18	36	0.375	96	37.5
1212	05.10.17	1	22	0.229166667	96	22.91666667
1212	05.16.17	2	24	0.25	96	25
1212	06.26.17	3a	18	0.5625	32	56.25
1212	07.03.17	4	31	0.322916667	96	32.29166667
1212	07.11.17	7	46	0.479166667	96	47.91666667
1212	07.18.17	8	50	0.520833333	96	52.08333333
1212	08.08.17	13	69	0.71875	96	71.875
aceris	05.16.17	2	8	0.083333333	96	8.333333333
aceris	07.03.17	4	7	0.072916667	96	7.291666667
aceris	07.11.17	7	32	0.333333333	96	33.33333333
aceris	07.18.17	8	57	0.6	95	60
aceris	08.08.17	13	20	0.210526316	95	21.05263158
aceris	08.10.17	14	36	0.375	96	37.5
DC3000	07.11.17	7	43	0.447916667	96	44.79166667
DC3000	07.18.17	8	46	0.484210526	95	48.42105263
DC3000	08.07.17	12	25	0.260416667	96	26.04166667
DC3000	08.10.17	14	48	0.505263158	95	50.52631579
pisi	08.07.17	12	8	0.084210526	95	8.421052632
pisi	08.11.17	15	60	0.625	96	62.5
pisi	08.14.17	16	18	0.1875	96	18.75
pisi	08.15.17	17	13	0.135416667	96	13.54166667
TLP2	07.11.17	7	73	0.768421053	95	76.84210526
TLP2	08.07.17	12	50	0.531914894	94	53.19148936
TLP2	08.11.17	15	81	0.84375	96	84.375
1448a	03.22.17	0	36	0.375	96	37.5
1448a	08.07.17	12	35	0.380434783	92	38.04347826
1448a	08.10.17	14	75	0.78125	96	78.125
1448a	08.14.17	16	30	0.3125	96	31.25
1448a	08.15.17	17	26	0.270833333	96	27.08333333
USA011	05.10.17	1	62	0.645833333	96	64.58333333
USA011	06.26.18	Imperio.2	80	0.833333333	96	83.33333333
USA011	07.07.18	Imperio.3	86	0.895833333	96	89.58333333
USA011	07.21.18	Imperio.4	91	0.947916667	96	94.79166667
B48	05.16.17	2	42	0.4375	96	43.75
B48	06.26.18	Imperio.2	79	0.822916667	96	82.29166667
B48	07.07.18	Imperio.3	84	0.875	96	87.5
B48	07.21.18	Imperio.4	82	0.854166667	96	85.41666667
CC440	07.04.17	5	29	0.302083333	96	30.20833333
CC440	09.12.17	18	73	0.760416667	96	76.04166667
CC440	01.23.18	22	52	0.541666667	96	54.16666667
CC457	07.04.17	5	14	0.145833333	96	14.58333333
CC457	09.12.17	18	27	0.28125	96	28.125
CC457	01.23.18	22	25	0.260416667	96	26.04166667
CC1543	07.04.17	5	16	0.166666667	96	16.66666667
CC1543	07.10.17	6	35	0.397727273	88	39.77272727
CC1543	09.12.17	18	37	0.385416667	96	38.54166667
CC1543	01.23.18	22	38	0.395833333	96	39.58333333
CC1458	07.04.17	5	59	0.614583333	96	61.45833333
CC1458	07.10.17	6	59	0.614583333	96	61.45833333
CC1458	09.12.17	18	72	0.75	96	75
CC1458	01.23.18	22	69	0.71875	96	71.875
maculicola	07.30.18	23	46	0.479166667	96	47.91666667
maculicola	08.06.18	24	20	0.215053763	93	21.50537634
maculicola	09.03.18	Imperio.1	66	0.6875	96	68.75
B301D	05.10.17	1	41	0.427083333	96	42.70833333
B301D	07.30.18	23	84	0.875	96	87.5
B301D	08.06.18	24	76	0.791666667	96	79.16666667
B301D	09.03.18	Imperio.1	66	0.6875	96	68.75
B301D	07.07.18	Imperio.3	76	0.791666667	96	79.16666667
1644r	12.10.18	25	63	0.66	96	65.625
1644r	12.17.18	26	47	0.49	96	48.95833333
1644r	04.23.19	27	80	0.833333333	96	83.33333333
UB303	06.27.17	3b	35	0.364583333	96	36.45833333
UB303	07.03.17	4	32	0.333333333	96	33.33333333
UB303	07.11.17	7	40	0.425531915	94	42.55319149
UB303	07.18.17	8	51	0.53125	96	53.125
UB303	08.08.17	13	69	0.71875	96	71.875
UB246	12.10.18	25	58	0.6	96	60.41666667
UB246	12.17.18	26	61	0.64	96	63.54166667
UB246	04.23.19	27	62	0.645833333	96	64.58333333
