individual,date,treatment,replicate,censored,time
1,06.27.17,Cit7,3b,1,0
2,06.27.17,Cit7,3b,1,0
3,06.27.17,Cit7,3b,1,0
4,06.27.17,Cit7,3b,1,0
5,06.27.17,Cit7,3b,1,6
6,06.27.17,Cit7,3b,1,6
7,06.27.17,Cit7,3b,1,6
8,06.27.17,Cit7,3b,1,24
9,06.27.17,Cit7,3b,1,24
10,06.27.17,Cit7,3b,1,24
11,06.27.17,Cit7,3b,1,31
12,06.27.17,Cit7,3b,1,31
13,06.27.17,Cit7,3b,1,31
14,06.27.17,Cit7,3b,1,31
15,06.27.17,Cit7,3b,1,31
16,06.27.17,Cit7,3b,1,31
17,06.27.17,Cit7,3b,1,31
18,06.27.17,Cit7,3b,1,31
19,06.27.17,Cit7,3b,1,31
20,06.27.17,Cit7,3b,1,48
21,06.27.17,Cit7,3b,1,48
22,06.27.17,Cit7,3b,1,48
23,06.27.17,Cit7,3b,1,48
24,06.27.17,Cit7,3b,1,48
25,06.27.17,Cit7,3b,1,48
26,06.27.17,Cit7,3b,1,48
27,06.27.17,Cit7,3b,1,48
28,06.27.17,Cit7,3b,1,48
29,06.27.17,Cit7,3b,1,48
30,06.27.17,Cit7,3b,1,48
31,06.27.17,Cit7,3b,1,48
32,06.27.17,Cit7,3b,1,48
33,06.27.17,Cit7,3b,1,48
34,06.27.17,Cit7,3b,1,48
35,06.27.17,Cit7,3b,1,48
36,06.27.17,Cit7,3b,1,48
37,06.27.17,Cit7,3b,1,48
38,06.27.17,Cit7,3b,1,48
39,06.27.17,Cit7,3b,1,48
40,06.27.17,Cit7,3b,1,48
41,06.27.17,Cit7,3b,1,48
42,06.27.17,Cit7,3b,1,48
43,06.27.17,Cit7,3b,1,48
44,06.27.17,Cit7,3b,1,48
45,06.27.17,Cit7,3b,1,48
46,06.27.17,Cit7,3b,1,55
47,06.27.17,Cit7,3b,1,55
48,06.27.17,Cit7,3b,1,55
49,06.27.17,Cit7,3b,1,55
50,06.27.17,Cit7,3b,1,55
51,06.27.17,Cit7,3b,1,55
52,06.27.17,Cit7,3b,1,55
53,06.27.17,Cit7,3b,1,55
54,06.27.17,Cit7,3b,1,55
55,06.27.17,Cit7,3b,1,55
56,06.27.17,Cit7,3b,1,55
57,06.27.17,Cit7,3b,1,55
58,06.27.17,Cit7,3b,1,55
59,06.27.17,Cit7,3b,1,55
60,06.27.17,Cit7,3b,1,72
61,06.27.17,Cit7,3b,1,72
62,06.27.17,Cit7,3b,1,72
63,06.27.17,Cit7,3b,1,72
64,06.27.17,Cit7,3b,1,72
65,06.27.17,Cit7,3b,1,72
66,06.27.17,Cit7,3b,1,72
67,06.27.17,Cit7,3b,1,72
68,06.27.17,Cit7,3b,1,72
69,06.27.17,Cit7,3b,1,72
70,06.27.17,Cit7,3b,1,72
71,06.27.17,Cit7,3b,1,72
72,06.27.17,Cit7,3b,1,72
73,06.27.17,Cit7,3b,1,72
74,06.27.17,Cit7,3b,1,72
75,06.27.17,Cit7,3b,1,72
76,06.27.17,Cit7,3b,1,72
77,06.27.17,Cit7,3b,1,72
78,06.27.17,Cit7,3b,1,72
79,06.27.17,Cit7,3b,1,72
80,06.27.17,Cit7,3b,1,72
81,06.27.17,Cit7,3b,1,72
82,06.27.17,Cit7,3b,1,72
83,06.27.17,Cit7,3b,0,72
84,06.27.17,Cit7,3b,0,72
85,06.27.17,Cit7,3b,0,72
86,06.27.17,Cit7,3b,0,72
87,06.27.17,Cit7,3b,0,72
88,06.27.17,Cit7,3b,0,72
89,06.27.17,Cit7,3b,0,72
90,06.27.17,Cit7,3b,0,72
91,06.27.17,Cit7,3b,0,72
92,06.27.17,Cit7,3b,0,72
93,06.27.17,Cit7,3b,0,72
94,06.27.17,Cit7,3b,0,72
95,06.27.17,Cit7,3b,0,72
96,06.27.17,Cit7,3b,0,72
97,07.11.17,Cit7,7,1,6
98,07.11.17,Cit7,7,1,6
99,07.11.17,Cit7,7,1,6
100,07.11.17,Cit7,7,1,24
101,07.11.17,Cit7,7,1,24
102,07.11.17,Cit7,7,1,24
103,07.11.17,Cit7,7,1,24
104,07.11.17,Cit7,7,1,24
105,07.11.17,Cit7,7,1,24
106,07.11.17,Cit7,7,1,24
107,07.11.17,Cit7,7,1,24
108,07.11.17,Cit7,7,1,24
109,07.11.17,Cit7,7,1,24
110,07.11.17,Cit7,7,1,24
111,07.11.17,Cit7,7,1,24
112,07.11.17,Cit7,7,1,24
113,07.11.17,Cit7,7,1,24
114,07.11.17,Cit7,7,1,24
115,07.11.17,Cit7,7,1,24
116,07.11.17,Cit7,7,1,24
117,07.11.17,Cit7,7,1,24
118,07.11.17,Cit7,7,1,24
119,07.11.17,Cit7,7,1,24
120,07.11.17,Cit7,7,1,24
121,07.11.17,Cit7,7,1,24
122,07.11.17,Cit7,7,1,24
123,07.11.17,Cit7,7,1,24
124,07.11.17,Cit7,7,1,24
125,07.11.17,Cit7,7,1,31
126,07.11.17,Cit7,7,1,31
127,07.11.17,Cit7,7,1,31
128,07.11.17,Cit7,7,1,31
129,07.11.17,Cit7,7,1,31
130,07.11.17,Cit7,7,1,31
131,07.11.17,Cit7,7,1,31
132,07.11.17,Cit7,7,1,31
133,07.11.17,Cit7,7,1,31
134,07.11.17,Cit7,7,1,31
135,07.11.17,Cit7,7,1,31
136,07.11.17,Cit7,7,1,31
137,07.11.17,Cit7,7,1,31
138,07.11.17,Cit7,7,1,31
139,07.11.17,Cit7,7,1,31
140,07.11.17,Cit7,7,1,31
141,07.11.17,Cit7,7,1,48
142,07.11.17,Cit7,7,1,48
143,07.11.17,Cit7,7,1,48
144,07.11.17,Cit7,7,1,48
145,07.11.17,Cit7,7,1,48
146,07.11.17,Cit7,7,1,48
147,07.11.17,Cit7,7,1,48
148,07.11.17,Cit7,7,1,48
149,07.11.17,Cit7,7,1,48
150,07.11.17,Cit7,7,1,48
151,07.11.17,Cit7,7,1,48
152,07.11.17,Cit7,7,1,48
153,07.11.17,Cit7,7,1,48
154,07.11.17,Cit7,7,1,48
155,07.11.17,Cit7,7,1,48
156,07.11.17,Cit7,7,1,48
157,07.11.17,Cit7,7,1,48
158,07.11.17,Cit7,7,1,48
159,07.11.17,Cit7,7,1,48
160,07.11.17,Cit7,7,1,55
161,07.11.17,Cit7,7,1,55
162,07.11.17,Cit7,7,1,55
163,07.11.17,Cit7,7,1,55
164,07.11.17,Cit7,7,1,55
165,07.11.17,Cit7,7,1,72
166,07.11.17,Cit7,7,1,72
167,07.11.17,Cit7,7,1,72
168,07.11.17,Cit7,7,1,72
169,07.11.17,Cit7,7,1,72
170,07.11.17,Cit7,7,1,72
171,07.11.17,Cit7,7,1,72
172,07.11.17,Cit7,7,0,72
173,07.11.17,Cit7,7,0,72
174,07.11.17,Cit7,7,0,72
175,07.11.17,Cit7,7,0,72
176,07.11.17,Cit7,7,0,72
177,07.11.17,Cit7,7,0,72
178,07.11.17,Cit7,7,0,72
179,07.11.17,Cit7,7,0,72
180,07.11.17,Cit7,7,0,72
181,07.11.17,Cit7,7,0,72
182,07.11.17,Cit7,7,0,72
183,07.11.17,Cit7,7,0,72
184,07.11.17,Cit7,7,0,72
185,07.11.17,Cit7,7,0,72
186,07.11.17,Cit7,7,0,72
187,07.11.17,Cit7,7,0,72
188,07.11.17,Cit7,7,0,72
189,07.11.17,Cit7,7,0,72
190,07.11.17,Cit7,7,0,72
191,07.11.17,Cit7,7,0,72
192,08.08.17,Cit7,13,1,6
193,08.08.17,Cit7,13,1,6
194,08.08.17,Cit7,13,1,6
195,08.08.17,Cit7,13,1,6
196,08.08.17,Cit7,13,1,24
197,08.08.17,Cit7,13,1,24
198,08.08.17,Cit7,13,1,24
199,08.08.17,Cit7,13,1,24
200,08.08.17,Cit7,13,1,24
201,08.08.17,Cit7,13,1,24
202,08.08.17,Cit7,13,1,24
203,08.08.17,Cit7,13,1,24
204,08.08.17,Cit7,13,1,24
205,08.08.17,Cit7,13,1,24
206,08.08.17,Cit7,13,1,24
207,08.08.17,Cit7,13,1,24
208,08.08.17,Cit7,13,1,24
209,08.08.17,Cit7,13,1,24
210,08.08.17,Cit7,13,1,24
211,08.08.17,Cit7,13,1,24
212,08.08.17,Cit7,13,1,24
213,08.08.17,Cit7,13,1,24
214,08.08.17,Cit7,13,1,24
215,08.08.17,Cit7,13,1,24
216,08.08.17,Cit7,13,1,24
217,08.08.17,Cit7,13,1,24
218,08.08.17,Cit7,13,1,24
219,08.08.17,Cit7,13,1,24
220,08.08.17,Cit7,13,1,24
221,08.08.17,Cit7,13,1,24
222,08.08.17,Cit7,13,1,24
223,08.08.17,Cit7,13,1,24
224,08.08.17,Cit7,13,1,31
225,08.08.17,Cit7,13,1,31
226,08.08.17,Cit7,13,1,31
227,08.08.17,Cit7,13,1,31
228,08.08.17,Cit7,13,1,31
229,08.08.17,Cit7,13,1,31
230,08.08.17,Cit7,13,1,31
231,08.08.17,Cit7,13,1,31
232,08.08.17,Cit7,13,1,31
233,08.08.17,Cit7,13,1,31
234,08.08.17,Cit7,13,1,31
235,08.08.17,Cit7,13,1,31
236,08.08.17,Cit7,13,1,31
237,08.08.17,Cit7,13,1,31
238,08.08.17,Cit7,13,1,31
239,08.08.17,Cit7,13,1,31
240,08.08.17,Cit7,13,1,31
241,08.08.17,Cit7,13,1,48
242,08.08.17,Cit7,13,1,48
243,08.08.17,Cit7,13,1,48
244,08.08.17,Cit7,13,1,48
245,08.08.17,Cit7,13,1,48
246,08.08.17,Cit7,13,1,48
247,08.08.17,Cit7,13,1,48
248,08.08.17,Cit7,13,1,48
249,08.08.17,Cit7,13,1,48
250,08.08.17,Cit7,13,1,48
251,08.08.17,Cit7,13,1,48
252,08.08.17,Cit7,13,1,48
253,08.08.17,Cit7,13,1,48
254,08.08.17,Cit7,13,1,48
255,08.08.17,Cit7,13,1,48
256,08.08.17,Cit7,13,1,48
257,08.08.17,Cit7,13,1,48
258,08.08.17,Cit7,13,1,48
259,08.08.17,Cit7,13,1,48
260,08.08.17,Cit7,13,1,48
261,08.08.17,Cit7,13,1,48
262,08.08.17,Cit7,13,1,48
263,08.08.17,Cit7,13,1,55
264,08.08.17,Cit7,13,1,55
265,08.08.17,Cit7,13,1,55
266,08.08.17,Cit7,13,1,55
267,08.08.17,Cit7,13,1,55
268,08.08.17,Cit7,13,1,55
269,08.08.17,Cit7,13,1,55
270,08.08.17,Cit7,13,1,55
271,08.08.17,Cit7,13,1,72
272,08.08.17,Cit7,13,1,72
273,08.08.17,Cit7,13,0,72
274,08.08.17,Cit7,13,0,72
275,08.08.17,Cit7,13,0,72
276,08.08.17,Cit7,13,0,72
277,08.08.17,Cit7,13,0,72
278,08.08.17,Cit7,13,0,72
279,08.08.17,Cit7,13,0,72
280,08.08.17,Cit7,13,0,72
281,08.08.17,Cit7,13,0,72
282,08.08.17,Cit7,13,0,72
283,08.08.17,Cit7,13,0,72
284,08.08.17,Cit7,13,0,72
285,08.08.17,Cit7,13,0,72
286,08.08.17,Cit7,13,0,72
287,08.08.17,Cit7,13,0,72
288,08.07.17,pisi,12,1,31
289,08.07.17,pisi,12,1,31
290,08.07.17,pisi,12,1,31
291,08.07.17,pisi,12,1,31
292,08.07.17,pisi,12,1,31
293,08.07.17,pisi,12,1,48
294,08.07.17,pisi,12,1,48
295,08.07.17,pisi,12,1,72
296,08.07.17,pisi,12,0,72
297,08.07.17,pisi,12,0,72
298,08.07.17,pisi,12,0,72
299,08.07.17,pisi,12,0,72
300,08.07.17,pisi,12,0,72
301,08.07.17,pisi,12,0,72
302,08.07.17,pisi,12,0,72
303,08.07.17,pisi,12,0,72
304,08.07.17,pisi,12,0,72
305,08.07.17,pisi,12,0,72
306,08.07.17,pisi,12,0,72
307,08.07.17,pisi,12,0,72
308,08.07.17,pisi,12,0,72
309,08.07.17,pisi,12,0,72
310,08.07.17,pisi,12,0,72
311,08.07.17,pisi,12,0,72
312,08.07.17,pisi,12,0,72
313,08.07.17,pisi,12,0,72
314,08.07.17,pisi,12,0,72
315,08.07.17,pisi,12,0,72
316,08.07.17,pisi,12,0,72
317,08.07.17,pisi,12,0,72
318,08.07.17,pisi,12,0,72
319,08.07.17,pisi,12,0,72
320,08.07.17,pisi,12,0,72
321,08.07.17,pisi,12,0,72
322,08.07.17,pisi,12,0,72
323,08.07.17,pisi,12,0,72
324,08.07.17,pisi,12,0,72
325,08.07.17,pisi,12,0,72
326,08.07.17,pisi,12,0,72
327,08.07.17,pisi,12,0,72
328,08.07.17,pisi,12,0,72
329,08.07.17,pisi,12,0,72
330,08.07.17,pisi,12,0,72
331,08.07.17,pisi,12,0,72
332,08.07.17,pisi,12,0,72
333,08.07.17,pisi,12,0,72
334,08.07.17,pisi,12,0,72
335,08.07.17,pisi,12,0,72
336,08.07.17,pisi,12,0,72
337,08.07.17,pisi,12,0,72
338,08.07.17,pisi,12,0,72
339,08.07.17,pisi,12,0,72
340,08.07.17,pisi,12,0,72
341,08.07.17,pisi,12,0,72
342,08.07.17,pisi,12,0,72
343,08.07.17,pisi,12,0,72
344,08.07.17,pisi,12,0,72
345,08.07.17,pisi,12,0,72
346,08.07.17,pisi,12,0,72
347,08.07.17,pisi,12,0,72
348,08.07.17,pisi,12,0,72
349,08.07.17,pisi,12,0,72
350,08.07.17,pisi,12,0,72
351,08.07.17,pisi,12,0,72
352,08.07.17,pisi,12,0,72
353,08.07.17,pisi,12,0,72
354,08.07.17,pisi,12,0,72
355,08.07.17,pisi,12,0,72
356,08.07.17,pisi,12,0,72
357,08.07.17,pisi,12,0,72
358,08.07.17,pisi,12,0,72
359,08.07.17,pisi,12,0,72
360,08.07.17,pisi,12,0,72
361,08.07.17,pisi,12,0,72
362,08.07.17,pisi,12,0,72
363,08.07.17,pisi,12,0,72
364,08.07.17,pisi,12,0,72
365,08.07.17,pisi,12,0,72
366,08.07.17,pisi,12,0,72
367,08.07.17,pisi,12,0,72
368,08.07.17,pisi,12,0,72
369,08.07.17,pisi,12,0,72
370,08.07.17,pisi,12,0,72
371,08.07.17,pisi,12,0,72
372,08.07.17,pisi,12,0,72
373,08.07.17,pisi,12,0,72
374,08.07.17,pisi,12,0,72
375,08.07.17,pisi,12,0,72
376,08.07.17,pisi,12,0,72
377,08.07.17,pisi,12,0,72
378,08.07.17,pisi,12,0,72
379,08.07.17,pisi,12,0,72
380,08.07.17,pisi,12,0,72
381,08.07.17,pisi,12,0,72
382,08.07.17,pisi,12,0,72
383,08.11.17,pisi,15,1,0
384,08.11.17,pisi,15,1,0
385,08.11.17,pisi,15,1,0
386,08.11.17,pisi,15,1,0
387,08.11.17,pisi,15,1,0
388,08.11.17,pisi,15,1,6
389,08.11.17,pisi,15,1,6
390,08.11.17,pisi,15,1,6
391,08.11.17,pisi,15,1,6
392,08.11.17,pisi,15,1,6
393,08.11.17,pisi,15,1,6
394,08.11.17,pisi,15,1,6
395,08.11.17,pisi,15,1,6
396,08.11.17,pisi,15,1,6
397,08.11.17,pisi,15,1,6
398,08.11.17,pisi,15,1,24
399,08.11.17,pisi,15,1,24
400,08.11.17,pisi,15,1,24
401,08.11.17,pisi,15,1,24
402,08.11.17,pisi,15,1,24
403,08.11.17,pisi,15,1,24
404,08.11.17,pisi,15,1,24
405,08.11.17,pisi,15,1,24
406,08.11.17,pisi,15,1,24
407,08.11.17,pisi,15,1,24
408,08.11.17,pisi,15,1,24
409,08.11.17,pisi,15,1,24
410,08.11.17,pisi,15,1,24
411,08.11.17,pisi,15,1,24
412,08.11.17,pisi,15,1,24
413,08.11.17,pisi,15,1,31
414,08.11.17,pisi,15,1,31
415,08.11.17,pisi,15,1,31
416,08.11.17,pisi,15,1,31
417,08.11.17,pisi,15,1,31
418,08.11.17,pisi,15,1,31
419,08.11.17,pisi,15,1,31
420,08.11.17,pisi,15,1,48
421,08.11.17,pisi,15,1,48
422,08.11.17,pisi,15,1,48
423,08.11.17,pisi,15,1,48
424,08.11.17,pisi,15,1,48
425,08.11.17,pisi,15,1,48
426,08.11.17,pisi,15,1,48
427,08.11.17,pisi,15,1,48
428,08.11.17,pisi,15,1,48
429,08.11.17,pisi,15,1,48
430,08.11.17,pisi,15,1,55
431,08.11.17,pisi,15,1,55
432,08.11.17,pisi,15,1,55
433,08.11.17,pisi,15,1,55
